# 原报告事件ID|聚合词条|变式题|参考答案|说明；只收已列待复测/疑似输入失误项目。
d26-q25|steady|Sales have risen ___ over the past six months. (steady)|steadily|steady为形容词；此处用副词steadily，y改i再加ly。
d27-q16|succeed|With enough preparation, we can ___ in completing the task.（成功；s开头）|succeed|can后接动词原形；success是名词。
d27-q18|suggest|What do you ___ we do next?（建议；s开头）|suggest|do you后需要动词suggest；suggestion为名词。
d28-q42|too|The shelf is too high ___ the child to reach.|for|too +形容词+for sb+to do。
d28-q45|transfer|At this station, transfer ___ the red line to the blue line.|from|transfer from A to B；来源和目的地区分。
d30-q2|translate|Translate these instructions ___ French.|into|translate into目标语言。
d30-q3|trap|The miners were trapped ___ a tunnel for several hours.|in|be trapped in表示被困在某处；into不是静态位置。
d30-q33|virtue|The team won by virtue ___ careful preparation.|of|by virtue of 凭借、由于。
d30-q42|wake|Please wake me ___ before you leave.|up|wake sb up 唤醒；检查是否误键uo。
d31-q15|widespread|The news attracted ___ attention across the country.（广泛的；w开头）|widespread|widespread强调分布广、普遍存在；wide常表示宽度。
d31-q46|whereas|Choose whereas or whether: One method saves time, ___ the other saves money.|whereas|whereas表示对比；whether表示是否。
